,0
0,0.0
1,4566.0
2,7300.0
3,3960.0
4,10522.0
5,6054.0
6,3935.0
7,0.0
8,9005.0
9,8308.0
10,9117.0
11,0.0
12,13993.0
13,0.0
14,5606.0
15,3958.0
16,0.0
17,6839.0
18,3973.0
19,6200.0
20,6613.0
21,8294.0
22,9297.0
23,6568.0
24,6214.0
25,8871.0
26,8293.0
27,4763.0
28,3262.0
29,11171.0
30,0.0
31,5483.0
32,5012.0
33,11130.0
34,0.0
35,7729.0
36,10361.0
37,10845.0
38,10958.0
39,11029.0
40,0.0
41,1648.0
42,7473.0
43,3292.0
44,10654.0
45,0.0
46,6057.0
47,14049.5
48,0.0
49,5670.0
50,7324.0
51,5051.0
52,3314.0
53,6516.0
54,5329.0
55,5987.0
56,6622.0
57,9990.0
58,6566.0
59,5299.0
60,2789.0
61,3072.0
62,5215.0
63,9753.0
64,5339.0
65,6436.0
66,5479.0
67,3290.0
68,4152.0
69,1682.0
70,8756.0
71,4210.0
72,0.0
73,0.0
74,9963.0
75,5280.0
76,2334.0
77,3565.0
78,8525.0
79,0.0
80,14049.5
81,10406.0
82,5698.0
83,8566.0
84,5296.0
85,0.0
86,14015.0
87,9484.0
88,0.0
89,5531.0
90,5898.0
91,0.0
92,0.0
93,0.0
94,3595.0
95,5747.0
96,7075.0
97,0.0
98,0.0
99,11968.0
100,6089.0
101,7423.0
102,6217.0
103,4625.0
104,7725.0
105,6683.0
106,7292.0
107,5425.0
108,8089.0
109,6390.0
110,0.0
111,4969.0
112,4248.0
113,4922.0
114,6329.0
115,7800.0
116,0.0
117,4302.0
118,5864.0
119,7258.0
120,7672.0
121,9818.0
122,0.0
123,0.0
124,0.0
125,4093.0
126,0.0
127,5050.0
128,7287.0
129,3197.0
130,0.0
131,8346.0
132,0.0
133,10146.0
134,0.0
135,3433.0
136,5286.0
137,7558.0
138,5779.0
139,11233.0
140,0.0
141,3961.0
142,5996.0
143,5406.0
144,5766.0
145,8988.0
146,8916.0
147,7631.0
148,6934.0
149,7123.0
150,14049.5
151,8746.0
152,6838.0
153,0.0
154,10494.0
155,7932.0
156,6725.0
157,3779.0
158,5643.0
159,6745.0
160,6095.0
161,0.0
162,4064.0
163,0.0
164,6132.0
165,5901.0
166,7590.0
167,0.0
168,4105.0
169,3268.0
170,9524.0
171,6165.0
172,7306.0
173,5991.0
174,0.0
175,14049.5
176,6370.0
177,14049.5
